Year,Quarter,MeasurementVar,MeasurementLevel,MeasurementType,Geography,HouseholdType,Sex,Age,CharacteristicVar,Characteristic,Estimate,StandardError,UnweightedCount
2024,4,catt2,Person,Perception,England and Wales, ,All people,16-24,accharm3,Detached house,49.81129436,3.989754607,229
2024,4,catt2,Person,Perception,England and Wales, ,All people,16-24,accharm3,Flats/maisonettes,45.58845912,3.317115821,460
2024,4,catt2,Person,Perception,England and Wales, ,All people,16-24,accharm3,House,51.5229105,1.880560431,1194
2024,4,catt2,Person,Perception,England and Wales, ,All people,16-24,accharm3,Other accommodation,[x],[x],[x]
2024,4,catt2,Person,Perception,England and Wales, ,All people,16-24,accharm3,Semi-detached house,52.39973521,3.208098498,418
2024,4,catt2,Person,Perception,England and Wales, ,All people,16-24,accharm3,Terraced house,51.74931348,2.846566999,547
2024,4,catt2,Person,Perception,England and Wales, ,All people,16-24,agegrp7,16-24,50.19512252,1.673337683,1662
2024,4,catt2,Person,Perception,England and Wales, ,All people,16-24,clubno,1-3 times,46.14673315,4.151987624,243
2024,4,catt2,Person,Perception,England and Wales, ,All people,16-24,clubno,4+ times,49.55616607,8.382811245,53
2024,4,catt2,Person,Perception,England and Wales, ,All people,16-24,clubno,None,50.99726734,1.804781377,1365
2024,4,catt2,Person,Perception,England and Wales, ,All people,16-24,depremp19,20% least deprived,51.106427,4.552808858,215
2024,4,catt2,Person,Perception,England and Wales, ,All people,16-24,depremp19,20% most deprived,51.00876404,2.910063116,496
2024,4,catt2,Person,Perception,England and Wales, ,All people,16-24,depremp19,Deciles 3 - 8,49.19067995,2.263021971,875
2024,4,catt2,Person,Perception,England and Wales, ,All people,16-24,educatlvl,Apprenticeship or A/AS level,54.0219734,2.859886283,473
2024,4,catt2,Person,Perception,England and Wales, ,All people,16-24,educatlvl,Degree or diploma,45.16564599,2.812059828,553
2024,4,catt2,Person,Perception,England and Wales, ,All people,16-24,educatlvl,None,49.08223771,5.427411395,139
2024,4,catt2,Person,Perception,England and Wales, ,All people,16-24,educatlvl,O level/GCSE,51.01183264,2.990478058,425
2024,4,catt2,Person,Perception,England and Wales, ,All people,16-24,educatlvl,Other,53.45417683,8.992935495,61
2024,4,catt2,Person,Perception,England and Wales, ,All people,16-24,gor,East Midlands,36.6033736,5.180715913,183
2024,4,catt2,Person,Perception,England and Wales, ,All people,16-24,gor,East of England,48.14923069,4.97009478,152
2024,4,catt2,Person,Perception,England and Wales, ,All people,16-24,gor,England,49.94243605,1.712506722,1586
2024,4,catt2,Person,Perception,England and Wales, ,All people,16-24,gor,London,43.30434028,4.064436517,259
2024,4,catt2,Person,Perception,England and Wales, ,All people,16-24,gor,North East,54.68469713,7.111021715,92
2024,4,catt2,Person,Perception,England and Wales, ,All people,16-24,gor,North West,54.28634577,3.76277934,258
2024,4,catt2,Person,Perception,England and Wales, ,All people,16-24,gor,South East,49.5146581,4.744753064,181
2024,4,catt2,Person,Perception,England and Wales, ,All people,16-24,gor,South West,65.20468,5.507161282,107
2024,4,catt2,Person,Perception,England and Wales, ,All people,16-24,gor,Wales,56.4668114,7.575327462,76
2024,4,catt2,Person,Perception,England and Wales, ,All people,16-24,gor,West Midlands,53.83133078,5.006627141,184
2024,4,catt2,Person,Perception,England and Wales, ,All people,16-24,gor,Yorkshire and The Humber,51.84769986,5.633952562,170
2024,4,catt2,Person,Perception,England and Wales, ,All people,16-24,illONS,Disability/illness ONS,41.20351967,4.917174421,188
