Year,Age,Characteristic,Estimate,MeasurementLabel,CrimeCategory
2024,16-24,Yorkshire and The Humber,0.25%,Perceived problem with abandoned or burnt out cars in the local area,anti-social-behaviour
2024,16+,Yorkshire and The Humber,2.46%,Perceived problem with abandoned or burnt out cars in the local area,anti-social-behaviour
2024,25-34,Yorkshire and The Humber,0.8%,Perceived problem with abandoned or burnt out cars in the local area,anti-social-behaviour
2024,35-44,Yorkshire and The Humber,4.52%,Perceived problem with abandoned or burnt out cars in the local area,anti-social-behaviour
2024,45-54,Yorkshire and The Humber,5.32%,Perceived problem with abandoned or burnt out cars in the local area,anti-social-behaviour
2024,55-64,Yorkshire and The Humber,3.84%,Perceived problem with abandoned or burnt out cars in the local area,anti-social-behaviour
2024,65-74,Yorkshire and The Humber,0.71%,Perceived problem with abandoned or burnt out cars in the local area,anti-social-behaviour
2024,75+,Yorkshire and The Humber,0.48%,Perceived problem with abandoned or burnt out cars in the local area,anti-social-behaviour
2024,16-24,Yorkshire and The Humber,0.0%,Perceived problem with abandoned or burnt out cars in the local area,anti-social-behaviour
2024,16+,Yorkshire and The Humber,1.92%,Perceived problem with abandoned or burnt out cars in the local area,anti-social-behaviour
2024,25-34,Yorkshire and The Humber,0.57%,Perceived problem with abandoned or burnt out cars in the local area,anti-social-behaviour
2024,35-44,Yorkshire and The Humber,1.44%,Perceived problem with abandoned or burnt out cars in the local area,anti-social-behaviour
2024,45-54,Yorkshire and The Humber,4.18%,Perceived problem with abandoned or burnt out cars in the local area,anti-social-behaviour
2024,55-64,Yorkshire and The Humber,4.2%,Perceived problem with abandoned or burnt out cars in the local area,anti-social-behaviour
2024,65-74,Yorkshire and The Humber,0.83%,Perceived problem with abandoned or burnt out cars in the local area,anti-social-behaviour
2024,75+,Yorkshire and The Humber,1.04%,Perceived problem with abandoned or burnt out cars in the local area,anti-social-behaviour
2024,16-24,Yorkshire and The Humber,0.44%,Perceived problem with abandoned or burnt out cars in the local area,anti-social-behaviour
2024,16+,Yorkshire and The Humber,3.03%,Perceived problem with abandoned or burnt out cars in the local area,anti-social-behaviour
2024,25-34,Yorkshire and The Humber,1.07%,Perceived problem with abandoned or burnt out cars in the local area,anti-social-behaviour
2024,35-44,Yorkshire and The Humber,8.43%,Perceived problem with abandoned or burnt out cars in the local area,anti-social-behaviour
2024,45-54,Yorkshire and The Humber,6.68%,Perceived problem with abandoned or burnt out cars in the local area,anti-social-behaviour
2024,55-64,Yorkshire and The Humber,3.47%,Perceived problem with abandoned or burnt out cars in the local area,anti-social-behaviour
2024,65-74,Yorkshire and The Humber,0.57%,Perceived problem with abandoned or burnt out cars in the local area,anti-social-behaviour
2024,75+,Yorkshire and The Humber,0.0%,Perceived problem with abandoned or burnt out cars in the local area,anti-social-behaviour
2024,16-24,Yorkshire and The Humber,6.97%,Worried about burglary,burglary
2024,16+,Yorkshire and The Humber,9.13%,Worried about burglary,burglary
2024,25-34,Yorkshire and The Humber,9.99%,Worried about burglary,burglary
2024,35-44,Yorkshire and The Humber,10.22%,Worried about burglary,burglary
2024,45-54,Yorkshire and The Humber,5.62%,Worried about burglary,burglary
2024,55-64,Yorkshire and The Humber,11.63%,Worried about burglary,burglary
2024,65-74,Yorkshire and The Humber,10.51%,Worried about burglary,burglary
2024,75+,Yorkshire and The Humber,7.7%,Worried about burglary,burglary
2024,16-24,Yorkshire and The Humber,7.23%,Worried about burglary,burglary
2024,16+,Yorkshire and The Humber,9.79%,Worried about burglary,burglary
2024,25-34,Yorkshire and The Humber,11.24%,Worried about burglary,burglary
2024,35-44,Yorkshire and The Humber,14.62%,Worried about burglary,burglary
2024,45-54,Yorkshire and The Humber,8.22%,Worried about burglary,burglary
2024,55-64,Yorkshire and The Humber,9.6%,Worried about burglary,burglary
2024,65-74,Yorkshire and The Humber,8.74%,Worried about burglary,burglary
2024,75+,Yorkshire and The Humber,7.45%,Worried about burglary,burglary
2024,16-24,Yorkshire and The Humber,6.55%,Worried about burglary,burglary
2024,16+,Yorkshire and The Humber,8.46%,Worried about burglary,burglary
2024,25-34,Yorkshire and The Humber,8.77%,Worried about burglary,burglary
2024,35-44,Yorkshire and The Humber,5.28%,Worried about burglary,burglary
2024,45-54,Yorkshire and The Humber,3.33%,Worried about burglary,burglary
2024,55-64,Yorkshire and The Humber,13.48%,Worried about burglary,burglary
