MeasurementVar,MeasurementLabel,MeasurementLevel,MeasurementType,CrimeCategory
abancar1,Perceived problem with abandoned or burnt out cars in the local area,Person,Perception,anti-social-behaviour
acquai_i,Acquaintance violence,Person,Incidence rate,violent-crime
acquai_p,Acquaintance violence,Person,Prevalence rate,violent-crime
afee_i,Advance fee fraud,Person,Incidence rate,other-crime
afee_p,Advance fee fraud,Person,Prevalence rate,other-crime
albenl_i,Domestic burglary with entry and no loss,Household,Incidence rate,burglary
albenl_p,Domestic burglary with entry and no loss,Household,Prevalence rate,burglary
albuel_i,Domestic burglary with entry and loss,Household,Incidence rate,burglary
albuel_p,Domestic burglary with entry and loss,Household,Prevalence rate,burglary
albura_i,Attempted domestic burglary,Household,Incidence rate,burglary
albura_p,Attempted domestic burglary,Household,Prevalence rate,burglary
albure_i,Domestic burglary with entry,Household,Incidence rate,burglary
albure_p,Domestic burglary with entry,Household,Prevalence rate,burglary
alburg_i,Domestic burglary,Household,Incidence rate,burglary
alburg_p,Domestic burglary,Household,Prevalence rate,burglary
allmvc_i,All vehicle crime,Household,Incidence rate,vehicle-crime
allmvc_p,All vehicle crime,Household,Prevalence rate,vehicle-crime
allmvt_i,All vehicle-related theft,Household,Incidence rate,vehicle-crime
allmvt_p,All vehicle-related thefts,Household,Prevalence rate,vehicle-crime
althft_p,All theft,Person,Prevalence rate,other-theft
attmvt_i,Attempted theft of and from vehicles,Household,Incidence rate,vehicle-crime
attmvt_p,Attempted theft of and from vehicles,Household,Prevalence rate,vehicle-crime
bank_i,Bank and credit account fraud,Person,Incidence rate,other-crime
bank_p,Bank and credit account fraud,Person,Prevalence rate,other-crime
biketh_i,Bicycle theft,Household,Incidence rate,bicycle-theft
biketh_p,Bicycle theft,Household,Prevalence rate,bicycle-theft
bndenl_i,Burglary in building other than dwelling with entry and no loss,Household,Incidence rate,burglary
bndenl_p,Burglary in building other than dwelling with entry and no loss,Household,Prevalence rate,burglary
brndel_i,Burglary in building other than dwelling with entry and loss,Household,Incidence rate,burglary
brndel_p,Burglary in building other than dwelling with entry and loss,Household,Prevalence rate,burglary
burdnl_i,Burglary in dwelling with no loss,Household,Incidence rate,burglary
burdnl_p,Burglary in dwelling with no loss,Household,Prevalence rate,burglary
burgat_i,Attempted burglary in dwelling,Household,Incidence rate,burglary
burgat_p,Attempted burglary in dwelling,Household,Prevalence rate,burglary
burgen_i,Burglary in dwelling with entry,Household,Incidence rate,burglary
burgen_p,Burglary in dwelling with entry,Household,Prevalence rate,burglary
burgla_i,Burglary in dwelling,Household,Incidence rate,burglary
burgla_p,Burglary in dwelling,Household,Prevalence rate,burglary
burglo_i,Burglary in dwelling with loss,Household,Incidence rate,burglary
burglo_p,Burglary in dwelling with loss,Household,Prevalence rate,burglary
burgnd_i,Burglary in building other than dwelling,Household,Incidence rate,burglary
burgnd_p,Burglary in building other than dwelling,Household,Prevalence rate,burglary
burnda_i,Attempted burglary in building other than dwelling,Household,Incidence rate,burglary
burnda_p,Attempted burglary in building other than dwelling,Household,Prevalence rate,burglary
burnde_i,Burglary in building other than dwelling with entry,Household,Incidence rate,burglary
burnde_p,Burglary in building other than dwelling with entry,Household,Prevalence rate,burglary
bvpiburg,Worried about burglary,Person,Perception,burglary
bvpicar,Worried about car crime,Person,Perception,vehicle-crime
bvpifrd,Worried about fraud,Person,Perception,other-crime
bvpiviol,Worried about violent crime,Person,Perception,violent-crime
catt2,Police and local council are dealing with matters in this area - AGREE,Person,Perception,
catt2a,Police and local council are dealing with matters in this area - NEITHER,Person,Perception,
catt2b,Police and local council are dealing with matters in this area - DISAGREE,Person,Perception,
cjsovb1dv,Confident in effectiveness of CJS,Person,Perception,
